log_id,generated_regex
68,<Event\s+xmlns=\'http://schemas\.microsoft\.com/win/2004/08/events/event\'><System><Provider\s+Name=\'(?<provider_name>.*?)\'\s+Guid=\'(?<provider_guid>.*?)\'/><EventID>(?<event_id>.*?)</EventID><Version>(?<version>.*?)</Version><Level>(?<level>.*?)</Level><Task>(?<task>.*?)</Task><Opcode>(?<opcode>.*?)</Opcode><Keywords>(?<keywords>.*?)</Keywords><TimeCreated\s+SystemTime=\'(?<timestamp>.*?)\'/><EventRecordID>(?<event_record_id>.*?)</EventRecordID><Correlation\s+ActivityID=\'(?<activity_id>.*?)\'/><Execution\s+ProcessID=\'(?<process_id>.*?)\'\s+ThreadID=\'(?<thread_id>.*?)\'/><Channel>(?<channel>.*?)</Channel><Computer>(?<computer>.*?)</Computer><Security\s+UserID=\'(?<user_id>.*?)\'/></System><EventData><Data\s+Name=\'LogString\'>(?<log_string>.*).*</Data></EventData></Event>\s*
69,(?P<timestamp>\d+\s+\d+)\s+(?P<pid>\d+)\s+(?P<log_level>\w+)\s+(?P<module>[\w.$]+):\s+(?P<message>.*)$
70,\[(?<timestamp>.*?)\]\s+\[(?<severity_name>.*?)\]\s+(?<procid>.*?)\s+ok\s+(?<path_to_config>.*?)$
71,(\w+\s+\d+\s+\d{2}:\d{2}:\d{2})\s+(\S+)\s+(\S+)\[\d+\]\:\s+pam_unix\((\S+)\)\:\s+authentication\s+failure\;\s+logname=(.*?)\s+uid=(\d+)\s+euid=(\d+)\s+tty=(.*?)\s+ruser=(.*?)\s+rhost=(.*)
72,(?P<timestamp>Mar\s+28\s+12:18:39)\s+(?P<hostname>CLV010VLCBEDR01)\s+(?P<procid>systemd\[\d+\])\:\s+(?P<message>.*)
73,(?<priority>\d+)\s+(?<hostname>[^\s]+)\s+(?<facility_name>[^\s]+)\s+(?<msgid>[^\s]+)\s+(?<timestamp>\d+)\s+(?<procid>\d+)\s+(?<message>.*)
74,(?<timestamp>\S+\s+\d+\s+\d+:\d+:\d+)\s+(?<hostname>\S+)\s+(?<severity_name>\S+)\s+Event\s+(?<msgid>\d+):\s+(?<message>.*)
75,"(?<src_ip>.*?)\s+-\s+-\s+\[(?<timestamp>.*?)\]\s+\""(?<method>.*?)\s+(?<url>.*?)\s+(?<http_version>.*?)\""\s+(?<status_code>.*?)\s+(?<response_size>.*?)\s+\""(?<referrer>.*?)\""\s+\""(?<user_agent>.*)\""\s*"
76,<Event\s+xmlns=\'http://schemas\.microsoft\.com/win/2004/08/events/event\'><System><Provider\s+Name=\'(?<provider_name>.*?)\'\s+Guid=\'(?<provider_guid>.*?)\'/><EventID>(?<event_id>.*?)</EventID><Version>(?<version>.*?)</Version><Level>(?<level>.*?)</Level><Task>(?<task>.*?)</Task><Opcode>(?<opcode>.*?)</Opcode><Keywords>(?<keywords>.*?)</Keywords><TimeCreated\s+SystemTime=\'(?<timestamp>.*?)\'/><EventRecordID>(?<event_record_id>.*?)</EventRecordID><Correlation/><Execution\s+ProcessID=\'(?<process_id>.*?)\'\s+ThreadID=\'(?<thread_id>.*?)\'/><Channel>(?<channel>.*?)</Channel><Computer>(?<computer>.*?)</Computer><Security\s+UserID=\'(?<user_id>.*?)\'/></System><EventData>(?:<Data\s+Name=\'(?<data_name>.*?)\'>(?<data_value>.*?)</Data>)*</EventData></Event>
77,(?<timestamp>\S+\s+\d+\s+\d+:\d+:\d+)\s+(?<hostname>\S+)\s+(?<procid>\S+)\[\d+\]\:\s+(?<message>.*)
78,"(?<timestamp>\d{4}-\d{2}-\d{2}\s+\d{2}:\d{2}:\d{2},\d+)\s+(?<log_level>[A-Z]+)\s+\[(?<thread_name>.*?)\]\s+(?<class_name>.*?):\s+(?<message>.*)"
79,<Event\s+xmlns=\'http://schemas\.microsoft\.com/win/2004/08/events/event\'>\s*<System>\s*<Provider\s+Name=\'(?<provider_name>.*?)\'\s+Guid=\'(?<provider_guid>.*?)\'/>\s*<EventID>(?<event_id>.*?)</EventID>\s*<Version>(?<version>.*?)</Version>\s*<Level>(?<level>.*?)</Level>\s*<Task>(?<task>.*?)</Task>\s*<Opcode>(?<opcode>.*?)</Opcode>\s*<Keywords>(?<keywords>.*?)</Keywords>\s*<TimeCreated\s+SystemTime=\'(?<timestamp>.*?)\'/>\s*<EventRecordID>(?<event_record_id>.*?)</EventRecordID>\s*<Correlation\s+ActivityID=\'(?<activity_id>.*?)\'/>\s*<Execution\s+ProcessID=\'(?<process_id>.*?)\'\s+ThreadID=\'(?<thread_id>.*?)\'/>\s*<Channel>(?<channel>.*?)</Channel>\s*<Computer>(?<computer>.*?)</Computer>\s*<Security\s+UserID=\'(?<user_id>.*?)\'/>\s*</System>\s*<EventData>\s*<Data\s+Name=\'LogString\'>(?<log_string>.*?).*?</Data>\s*</EventData>\s*</Event>
80,(\w+\s+\d+\s+\d+:\d+:\d+)\s+(\S+)\s+(\S+)\[\d+\]\:\s+(reverse\s+mapping\s+checking\s+getaddrinfo\s+for\s+(\S+)\s+\[(\d+\.\d+\.\d+\.\d+)\]\s+failed\s+-\s+POSSIBLE\s+BREAK\-IN\s+ATTEMPT!)\s*
81,(?<timestamp>\d{2}\/\d{2}\/\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3})\s+(?<message>.*)
82,(?<timestamp>\d{4}-\d{2}-\d{2}\s+\d{2}:\d{2}:\d{2}\.\d+)\s+\+\d{2}:\d{2}\s+Alarm:\s+(?<message>.*?);\s+time\s+(?<end_time>\d{4}-\d{2}-\d{2}\s+\d{2}:\d{2}:\d{2}\.)\s*.*
83,(?P<timestamp>\w+\s+\d+\s+\d+:\d+:\d+)\s+(?P<hostname>\S+)\s+(?P<service>\S+)\((?P<module>\S+)\)\[(?P<pid>\d+)\]\:\s+(?P<message>authentication\s+failure)\;\s+logname=(?P<logname>\S*)\s+uid=(?P<uid>\d+)\s+euid=(?P<euid>\d+)\s+tty=(?P<tty>\S+)\s+ruser=(?P<ruser>\S*)\s+rhost=(?P<rhost>\S+)\s+user=(?P<user>\S+)
84,(?P<timestamp>\d{2}\/\d{2}\/\d{2} \d{2}:\d{2}:\d{2})\s+(?P<loglevel>[A-Z]+)\s+(?P<module>[\w\.]+):\s+(?P<message>.*)
85,(?P<timestamp>\[\d{2}\.\d{2} \d{2}:\d{2}:\d{2}\])\s+(?P<application>[\w\.]+)\s+-\s+(?P<proxy>[\w\.\-]+:\d+)\s+(?P<action>[a-zA-Z]+) through proxy (?P<proxy2>[\w\.\-]+:\d+)\s+(?P<protocol>\w+)$
86,(?P<timestamp>\d+\s+\d+)\s+(?P<pid>\d+)\s+(?P<log_level>\w+)\s+(?P<module>[\w.$]+):\s+(?P<message>.*)$
87,(?P<timestamp>\d+\s+\d+)\s+(?P<pid>\d+)\s+(?P<log_level>\w+)\s+(?P<module>[\w.$]+):\s+(?P<message>.*)$
88,(?<timestamp>\d{4}-\d{2}-\d{2}T\d{2}:\d{2}:\d{2}\.\d{3}Z)\s+(?<server>[\w\d]+)\s+(?<service>[\w\d]+)\s+\[(?<log_level>[^\]]+)\]\:\s+(?<message>.*)
89,<(\d+)>(?P<version>\d+)\s+(?P<timestamp>\d{4}-\d{2}-\d{2}T\d{2}:\d{2}:\d{2}\.\d+Z)\s+(?P<hostname>[^ ]+)\s+(?P<app_name>[^ ]+)\s+(?P<procid>[^ ]+)\s+(?P<msgid>[^ ]+)\s+(?P<structured_data>.*?)\s+(?P<message>.*)
90,"(?<ip>\d+\.\d+\.\d+\.\d+)\s+-\s+-\s*\[(?<timestamp>[^\]]+)\]\s*\""(?<method>[^\""]+)\s+(?<url>[^\""]+)\s+(?<protocol>[^\""]+)\""\s*(?<status>\d+)\s*(?<size>\d+)\s*\""?(?<referrer>[^\""]*)\""?\s*(?P<user_agent>.*?)\s*$"
91,<\d+>\s*(\w+\s+\d+\s+\d+:\d+:\d+)\s+(\S+)\s+(\S+)\s+\s*(?<source>.*?)\|\s*(?<timestamp>.*?)\|\s*(?<severity_code>.*?)\|\s*(?<message>.*?)\|\s*(?<version>.*?)\s*(?<structured_data>.*)
92,"(?<client_ip>.*?)\s+-\s+-\s+\[(?<timestamp>.*?)\]\s+\""(?<method>.*?)\s+(?<url>.*?)\s+(?<http_version>.*?)\""\s+(?<status_code>.*?)\s+(?<response_size>.*?)\s+\""(?<referrer>.*?)\""\s+\""(?<user_agent>.*)\""\s*"
93,(\w+\s+\d+\s+\d{2}:\d{2}:\d{2})\s+(\S+)\s+(\S+)\((\S+)\)\[(\d+)\]\:\s+authentication\s+failure\;\s+logname\=(.*?)\s+uid\=(\d+)\s+euid\=(\d+)\s+tty\=(.*?)\s+ruser\=(.*?)\s+rhost\=(.*?)\s+user\=(.*)
94,(\d{6})\s+(\d{6})\s+(\d+)\s+(\w+)\s+([\w.]+):\s+(.*?)\s+blockMap\s+updated:\s+([\d:.]+)\s+is\s+added\s+to\s+([\w\d_]+)\s+size\s+(\d+).*
95,(\d{6})\s+(\d{6})\s+(\d+)\s+(INFO|WARN|ERROR)\s+([^\s:]+):?\s+(.*)
96,"\[(?<timestamp>\d{2}\.\d{2}\s\d{2}:\d{2}:\d{2})\]\s(?<process>chrome\.exe)\s-\s(?<host>proxy\.cse\.cuhk\.edu\.hk):(?<port>\d+)\s(?<action>close),\s(?<bytes_sent>\d+)\sbytes\s\((?<size_sent>[\d\.]+\sKB)\)\ssent,\s(?<bytes_received>\d+)\sbytes\s\((?<size_received>[\d\.]+\sKB)\)\sreceived,\slifetime\s(?<lifetime>\d{2}:\d{2})"
97,"\[(?<timestamp>.*?)\]\s+(?<process>.*?)\s+-\s+(?<destination>.*?)\s+close,\s+(?<bytes_sent>.*?)\s+bytes\s+\(.*?\)\s+sent,\s+(?<bytes_received>.*?)\s+bytes\s+\(.*?\)\s+received,\s+lifetime\s+(?<lifetime>.*?)$"
98,<Event\s+xmlns=\'http://schemas\.microsoft\.com/win/2004/08/events/event\'><System><Provider\s+Name=\'(?<provider_name>.*?)\'\s+Guid=\'(?<provider_guid>.*?)\'/><EventID>(?<event_id>.*?)</EventID><Version>(?<version>.*?)</Version><Level>(?<level>.*?)</Level><Task>(?<task>.*?)</Task><Opcode>(?<opcode>.*?)</Opcode><Keywords>(?<keywords>.*?)</Keywords><TimeCreated\s+SystemTime=\'(?<timestamp>.*?)\'/><EventRecordID>(?<event_record_id>.*?)</EventRecordID><Correlation\s+ActivityID=\'(?<activity_id>.*?)\'/><Execution\s+ProcessID=\'(?<process_id>.*?)\'\s+ThreadID=\'(?<thread_id>.*?)\'/><Channel>(?<channel>.*?)</Channel><Computer>(?<computer>.*?)</Computer><Security\s+UserID=\'(?<user_id>.*?)\'/></System><EventData><Data\s+Name=\'LogString\'>(?<log_string>.*)
99,"(?<timestamp>\d{4}-\d{2}-\d{2}\s+\d{2}:\d{2}:\d{2},\d+)\s+(?<log_level>[A-Z]+)\s+\[(?<thread>.+?)\]\s+(?<class>.+?):\s+(?<message>.*)"
100,_from_ip="(?P<_from_ip>.*?)"\s+_to_ip="(?P<_to_ip>.*?)"\s+bpf_filter="(?P<bpf_filter>.*?)"\s+direction_is_known=(?P<direction_known>.*?)\s+first_activity_time="(?P<first_act_time>.*?)"\s+from="(?P<from>.*?)"\s+from_port="(?P<from_port>.*?)"\s+from_zone="(?P<from_zone>.*?)"\s+id="(?P<id>.*?)"\s+is_broadcast=(?P<is_broadcast>.*?)\s+is_from_public=(?P<is_from_pub>.*?)\s+is_to_public=(?P<is_to_pub>.*?)\s+key="(?P<key>.*?)"\s+last_activity_time="(?P<last_act_time>.*?)"\s+protocol="(?P<protocol>.*?)"\s+status="(?P<status>.*?)"\s+throughput_speed=(?P<thru_speed>.*?)\s+to="(?P<to>.*?)"\s+to_port="(?P<to_port>.*?)"\s+to_zone="(?P<to_zone>.*?)"\s+transferred\.avg_packet_bytes=(?P<trans_avg_bytes>.*?)\s+transferred\.biggest_packet_bytes="(?P<trans_big_bytes>.*?)"\s+transferred\.bytes="(?P<trans_bytes>.*?)"\s+transferred\.last_15m_bytes="(?P<trans_15m_bytes>.*?)"\s+transferred\.last_30m_bytes="(?P<trans_30m_bytes>.*?)"\s+transferred\.last_5m_bytes="(?P<trans_5m_bytes>.*?)"\s+transferred\.packets="(?P<trans_packets>.*?)"\s+transferred\.smallest_packet_bytes="(?P<trans_small_bytes>.*?)"\s+transport_protocol="(?P<trans_proto>.*?)"\s+vlan_id=(?P<vlan_id>.*?)$
